player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,Segm K-means PCA,Segment
P-06163,Mascherano,Javier,20,1950,4,4,1,0,0,0,1,1
P-08404,Cafu,not applicable,20,1639,4,4,3,2,0,0,1,1
P-07217,Brehme,Andreas,16,1330,3,3,2,1,4,1,1,1
P-06098,Robben,Arjen,15,1348,3,3,1,0,6,0,1,1
P-06516,Maradona,Diego,21,1938,4,4,2,1,8,0,1,1
P-08617,Cannavaro,Fabio,18,1710,4,4,1,1,0,0,1,1
P-03082,Schweinsteiger,Bastian,20,1657,3,3,1,1,2,0,1,1
P-02305,Zambrotta,Gianluca,13,1212,3,3,1,1,1,0,1,1
P-00876,Klinsmann,Jürgen,17,1524,3,3,1,1,11,0,1,1
P-08606,Matuidi,Blaise,10,764,2,2,1,1,1,0,1,1
P-02669,Gentile,Claudio,13,1170,2,2,1,1,0,0,1,1
P-04483,Bergomi,Giuseppe,16,1464,4,4,1,1,0,0,1,1
P-06751,Tardelli,Marco,13,1155,3,2,1,1,2,0,1,1
P-08987,Suurbier,Wim,11,942,2,2,2,0,0,0,1,1
P-02225,Olarticoechea,Julio,12,810,3,2,1,1,0,0,1,1
P-03946,Petit,Emmanuel,8,686,2,2,1,1,2,0,1,1
P-07030,Batista,Sergio,11,827,2,2,1,1,0,0,1,1
P-07240,Völler,Rudi,15,1024,3,3,2,1,8,0,1,1
P-00568,Puyol,Carles,14,1344,3,3,1,1,1,0,1,1
P-06983,Ruggeri,Oscar,16,1412,3,3,2,1,1,0,1,1
P-01858,Maldini,Paolo,23,2217,4,4,1,0,0,0,1,1
P-02210,Rep,Johnny,14,1158,2,2,2,0,7,0,1,1
P-01321,Aldair,not applicable,13,1144,3,2,2,1,0,0,1,1
P-07607,Jorginho,not applicable,11,921,2,2,1,1,0,0,1,1
P-06373,Sneijder,Wesley,17,1554,3,3,1,0,6,0,1,1
P-08138,Rivellino,not applicable,15,1211,3,3,1,1,6,0,1,1
P-02338,Branco,not applicable,12,1140,3,3,1,1,1,0,1,1
P-07877,Jairzinho,not applicable,16,1430,3,3,1,1,9,0,1,1
P-06808,Carlos,Roberto,17,1560,3,3,2,1,1,0,1,1
P-06578,Ardiles,Osvaldo,11,922,2,2,1,1,1,0,1,1
P-01038,Giusti,Ricardo,11,981,2,2,1,1,0,0,1,1
P-09857,Briegel,Hans-Peter,13,1180,2,2,2,0,0,0,1,1
P-07271,Vieira,Patrick,12,945,3,3,2,1,2,0,1,1
P-01728,Overath,Wolfgang,19,1764,3,3,2,1,3,0,1,1
P-05448,Pumpido,Nery,9,731,3,2,1,1,0,0,1,1
P-05548,Cabrini,Antonio,18,1609,3,3,1,1,1,0,1,1
P-05815,Scirea,Gaetano,18,1620,3,3,1,1,0,0,1,1
P-00234,Ramos,Sergio,17,1577,4,4,1,1,0,0,1,1
P-00148,Dunga,not applicable,18,1675,3,3,2,1,0,0,1,1
P-00329,Vogts,Berti,19,1770,3,3,1,1,0,0,1,1
P-01266,Totti,Francesco,11,813,2,2,1,1,1,1,1,1
P-06083,Pogba,Paul,11,894,2,2,1,1,2,0,1,1
P-08408,Häßler,Thomas,14,1105,3,3,1,1,0,0,1,1
P-00485,Lahm,Philipp,20,1920,3,3,1,1,1,0,1,1
P-01908,Gallego,Américo,11,1009,2,2,1,1,0,0,1,1
P-03244,Alonso,Xabi,13,1021,3,3,1,1,2,1,1,1
P-05642,Gattuso,Gennaro,9,678,3,3,1,1,0,0,1,1
P-06100,Busquets,Sergio,13,1201,3,3,1,1,0,0,1,1
P-00448,Piqué,Gerard,12,1140,3,3,1,1,0,0,1,1
P-04626,Valdano,Jorge,9,682,2,2,1,1,4,0,1,1
P-04585,Lizarazu,Bixente,9,864,2,2,1,1,1,0,1,1
P-04810,De Rossi,Daniele,8,628,3,3,1,1,1,0,1,1
