player_id,family_name,given_name,shirt_number,position_name,position_code
P-00942,Abadzhiev,Stefan,,forward,FW
P-06220,Adelardo,not applicable,,midfielder,MF
P-05721,Afonin,Valentin,,midfielder,MF
P-05509,Albert,Flórián,,forward,FW
P-01240,Albertosi,Enrico,,goal keeper,GK
P-01364,Albrecht,Rafael,,midfielder,MF
P-01678,Alcindo,not applicable,,forward,FW
P-08370,Allemann,Willy,,defender,DF
P-09882,Altair,not applicable,,defender,DF
P-09305,Álvarez,Eliseo,,defender,DF
P-09170,Álvarez,Emilio,,defender,DF
P-07526,Amancio,not applicable,,forward,FW
P-01241,Américo,not applicable,,goal keeper,GK
P-09301,An,Se-bok,,midfielder,MF
P-05128,Anzolin,Roberto,,goal keeper,GK
P-09911,Apostolov,Vidin,,defender,DF
P-00375,Araya,Pedro,,forward,FW
P-00507,Armbruster,Kurt,,defender,DF
P-03452,Armfield,Jimmy,,defender,DF
P-08750,Artelesa,Marcel,,defender,DF
P-04225,Artime,Luis,,forward,FW
P-06361,Asparuhov,Georgi,,forward,FW
P-03229,Aubour,Marcel,,goal keeper,GK
P-04280,Augusto,José,,midfielder,MF
P-05909,Ball,Alan,,midfielder,MF
P-03327,Bäni,Heinz,,midfielder,MF
P-08234,Banishevskiy,Anatoliy,,forward,FW
P-09652,Banks,Gordon,,goal keeper,GK
P-08046,Bannikov,Viktor,,goal keeper,GK
P-03491,Baptista,Alexandre,,defender,DF
P-08430,Baraffe,Edmond,,forward,FW
P-04647,Barison,Paolo,,midfielder,MF
P-04356,Beckenbauer,Franz,,midfielder,MF
P-07138,Bellini,Hilderaldo,,defender,DF
P-02995,Bene,Ferenc,,forward,FW
P-06433,Berly,Hugo,,defender,DF
P-06926,Bernard,Günter,,goal keeper,GK
P-07470,Betancort,Antonio,,goal keeper,GK
P-08638,Bonetti,Peter,,goal keeper,GK
P-01377,Bonnel,Joseph,,midfielder,MF
P-08563,Borja,Enrique,,forward,FW
P-00595,Bosquier,Bernard,,defender,DF
P-09985,Brito,not applicable,,defender,DF
P-09978,Brodmann,René,,defender,DF
P-00943,Brülls,Albert,,midfielder,MF
P-03350,Budzynski,Robert,,defender,DF
P-08245,Bulgarelli,Giacomo,,forward,FW
P-00130,Burgnich,Tarcisio,,defender,DF
P-04015,Byrne,Gerry,,defender,DF
P-08047,Caetano,Omar,,midfielder,MF
P-02951,Calderón,Ignacio,,goal keeper,GK
P-04772,Calics,Oscar,,midfielder,MF
P-00376,Callaghan,Ian,,midfielder,MF
P-09498,Campos,Carlos,,forward,FW
P-00727,Carbajal,Antonio,,goal keeper,GK
P-02413,Carlos,José,,defender,DF
P-07322,Carnus,Georges,,goal keeper,GK
P-00835,Carvalho,Joaquim,,goal keeper,GK
P-00889,Chaires,Arturo,,defender,DF
P-09027,Chaldú,Mario,,forward,FW
P-00227,Charlton,Bobby,,forward,FW
P-08025,Charlton,Jack,,defender,DF
P-04699,Chislenko,Igor,,midfielder,MF
P-08903,Chorda,André,,defender,DF
P-09717,Cisneros,Ernesto,,forward,FW
P-09264,Cohen,George,,defender,DF
P-01605,Coluna,Mário,,midfielder,MF
P-09590,Combin,Nestor,,forward,FW
P-04212,Connelly,John,,forward,FW
P-08635,Cortés,Julio César,,midfielder,MF
P-06391,Couécou,Didier,,forward,FW
P-09442,Cruz,Fernando,,midfielder,MF
P-08910,Cruz,Humberto,,midfielder,MF
P-04725,Danilov,Vasiliy,,defender,DF
P-08049,Davidov,Ivan,,midfielder,MF
P-02009,De Bourgoing,Héctor,,defender,DF
P-09272,De Michele,Gabriel,,defender,DF
P-05564,del Muro,Jesús,,defender,DF
P-06783,del Sol,Luis,,midfielder,MF
P-01039,Denílson,not applicable,,midfielder,MF
P-03135,Dermendzhiev,Dinko,,forward,FW
P-04580,Deyanov,Ivan,,goal keeper,GK
P-02774,Díaz,Isidoro,,forward,FW
P-08342,Díaz,Nelson,,defender,DF
P-06627,Djorkaeff,Jean,,defender,DF
P-00973,Donoso,Humberto,,defender,DF
P-02615,Duarte,Manuel,,forward,FW
P-08668,Dürr,Richard,,forward,FW
P-07981,Eastham,George,,midfielder,MF
P-02293,Edu,not applicable,,forward,FW
P-05911,Eichmann,Léo,,goal keeper,GK
P-01711,Eladio,not applicable,,defender,DF
P-07056,Elsener,Karl,,goal keeper,GK
P-00058,Emmerich,Lothar,,forward,FW
P-06766,Espárrago,Víctor,,midfielder,MF
P-01633,Eusébio,not applicable,,forward,FW
P-06240,Eyzaguirre,Luis,,defender,DF
P-08952,Facchetti,Giacinto,,defender,DF
P-06508,Farkas,János,,forward,FW
P-00159,Fenyvesi,Máté,,forward,FW
P-00256,Ferreiro,Roberto,,defender,DF
P-09915,Festa,Alberto,,defender,DF
P-08967,Fidélis,not applicable,,defender,DF
P-07247,Figueiredo,Ernesto,,forward,FW
P-06093,Figueroa,Elías,,defender,DF
P-07658,Flowers,Ron,,midfielder,MF
P-00413,Fogli,Romano,,midfielder,MF
P-05387,Forlán,Pablo,,midfielder,MF
P-04000,Fouilloux,Alberto,,forward,FW
P-04083,Fragoso,Javier,,forward,FW
P-02713,Führer,Hansruedi,,midfielder,MF
P-08506,Fusté,Josep Maria,,midfielder,MF
P-09920,Gaganelov,Boris,,defender,DF
P-09166,Gallego,not applicable,,defender,DF
P-04025,Garrincha,not applicable,,forward,FW
P-05525,Gatti,Hugo,,goal keeper,GK
P-07319,Géczi,István,,goal keeper,GK
P-04873,Gelei,József,,goal keeper,GK
P-08029,Gento,Francisco,,forward,FW
P-08834,Germano,not applicable,,defender,DF
P-03612,Gérson,not applicable,,midfielder,MF
P-02315,Getmanov,Viktor,,defender,DF
P-04950,Gilmar,not applicable,,goal keeper,GK
P-03921,Glaría,Jesús,,midfielder,MF
P-05051,Godoy,Adán,,goal keeper,GK
P-03162,Gonçalves,Néstor,,midfielder,MF
P-09612,Gondet,Philippe,,forward,FW
P-02471,González,Alberto,,forward,FW
P-00763,González,José Luis,,midfielder,MF
P-09869,Gottardi,Vittore,,midfielder,MF
P-05887,Grabowski,Jürgen,,forward,FW
P-01009,Graça,Jaime,,midfielder,MF
P-00423,Greaves,Jimmy,,forward,FW
P-03454,Grobéty,André,,midfielder,MF
P-02563,Guarneri,Aristide,,defender,DF
P-02764,Ha,Jung-won,,defender,DF
P-08039,Haller,Helmut,,forward,FW
P-09008,Han,Bong-zin,,midfielder,MF
P-06762,Hausser,Gérard,,forward,FW
P-00407,Held,Sigfried,,forward,FW
P-03729,Henrique,Paulo,,defender,DF
P-03983,Herbet,Yves,,midfielder,MF
P-09758,Herbin,Robert,,midfielder,MF
P-04709,Hernández,Guillermo,,defender,DF
P-01735,Hilário,not applicable,,midfielder,MF
P-00827,Hodge,Roberto,,midfielder,MF
P-08912,Hornig,Heinz,,forward,FW
P-09872,Hosp,Robert,,forward,FW
P-00371,Höttges,Horst-Dieter,,defender,DF
P-01893,Hunt,Roger,,forward,FW
P-00924,Hunter,Norman,,defender,DF
P-03234,Hurst,Geoff,,forward,FW
P-02422,Ihász,Kálmán,,defender,DF
P-01709,Im,Seung-hwi,,midfielder,MF
P-09040,Iribar,José Ángel,,goal keeper,GK
