player_id,family_name,given_name,shirt_number,position_name,position_code
P-00263,Achá,Alberto,,defender,DF
P-00912,Acuña,Juan,,goal keeper,GK
P-03870,Adãozinho,not applicable,,forward,FW
P-04188,Ademir,not applicable,,forward,FW
P-04700,Åhlund,Olle,,midfielder,MF
P-00257,Alfredo,not applicable,,forward,FW
P-05881,Algarañaz,Víctor Celestino,,forward,FW
P-05058,Alonso,Gabriel,,defender,DF
P-04844,Álvarez Jiménez,Manuel,,defender,DF
P-08366,Amadei,Amedeo,,forward,FW
P-06904,Andersson,Sune,,midfielder,MF
P-06628,Annis,Robert,,defender,DF
P-02276,Annovazzi,Carlo,,defender,DF
P-09805,Antenen,Charles,,forward,FW
P-04277,Antúnez,Francisco,,defender,DF
P-02792,Aparicio,Alberto,,midfielder,MF
P-04893,Aráoz,Duberty,,midfielder,MF
P-07829,Arraya,Vicente,,goal keeper,GK
P-03581,Arricio,Juan,,midfielder,MF
P-07007,Asensi,Vicente,,defender,DF
P-06407,Aston,John,,defender,DF
P-04411,Atanacković,Aleksandar,,midfielder,MF
P-05238,Augusto,not applicable,,defender,DF
P-09160,Avalos,Enrique,,forward,FW
P-07588,Avalos,Marcial,,forward,FW
P-01810,Bader,René,,forward,FW
P-08010,Baez,Melanio,,midfielder,MF
P-01683,Bahr,Walter,,midfielder,MF
P-00598,Baily,Eddie,,forward,FW
P-02090,Baltazar,not applicable,,forward,FW
P-00211,Barbosa,not applicable,,goal keeper,GK
P-08187,Basora,Estanislau,,forward,FW
P-04726,Bauer,not applicable,,midfielder,MF
P-00735,Beara,Vladimir,,goal keeper,GK
P-03000,Beerli,Walter,,forward,FW
P-07481,Bentley,Roy,,forward,FW
P-05475,Berni,Ángel,,forward,FW
P-01417,Bickel,Alfred,,forward,FW
P-07839,Bigode,not applicable,,midfielder,MF
P-06731,Blason,Ivano,,defender,DF
P-04917,Bobek,Stjepan,,forward,FW
P-00160,Bocquet,Roger,,midfielder,MF
P-09693,Boniperti,Giampiero,,forward,FW
P-04120,Borbolla,José Luis,,forward,FW
P-01932,Borghi,Frank,,goal keeper,GK
P-04341,Britos,Julio César,,forward,FW
P-04137,Broketa,Božo,,defender,DF
P-07712,Brown,Víctor,,forward,FW
P-03799,Burgueño,Juan,,forward,FW
P-06306,Busquets,Miguel,,midfielder,MF
P-03792,Bustamante,José,,defender,DF
P-00808,Cabrera,Antonio,,defender,DF
P-08588,Cabrera,René,,midfielder,MF
