player_id,family_name,given_name,shirt_number,position_name,position_code
P-05367,Abegglen,André,,forward,FW
P-03821,Abrahamsson,Henock,,goal keeper,GK
P-09079,Aeby,Georges,,forward,FW
P-00906,Aeby,Paul,,forward,FW
P-08254,Afonsinho,not applicable,,midfielder,MF
P-03388,Almgren,Erik,,midfielder,MF
P-00917,Alonzo,Juan,,forward,FW
P-00911,Amadò,Lauro,,forward,FW
P-01128,Amundsen,Roald,,defender,DF
P-05769,Anderiesen,Wim,,midfielder,MF
P-08849,Andersen,Oddmund,,defender,DF
P-02720,Andersson,Åke,,forward,FW
P-02236,Andersson,Harry,,forward,FW
P-05963,Andreassen,Gunnar,,midfielder,MF
P-09615,Andreolo,Michele,,midfielder,MF
P-07737,Andresen,Hjalmar,,forward,FW
P-03121,Anwar,Sutan,,midfielder,MF
P-05230,Argemiro,not applicable,,midfielder,MF
P-08711,Arias,Joaquín,,midfielder,MF
P-01648,Aston,Alfred,,forward,FW
P-05521,Ayra,Juan,,goal keeper,GK
P-04809,Badjou,Arnold,,goal keeper,GK
P-09114,Ballabio,Erwin,,goal keeper,GK
P-07531,Balogh,István,,midfielder,MF
P-06165,Baran,Stanisław,,forward,FW
P-01365,Baratky,Iuliu,,forward,FW
P-08051,Bărbulescu,Andrei,,midfielder,MF
P-09378,Barquín,Jacinto,,defender,DF
P-00176,Bastien,Jean,,midfielder,MF
P-09381,Batatais,not applicable,,goal keeper,GK
P-02093,Been,Dick,,defender,DF
P-00393,Ben Bouali,Abdelkader,,defender,DF
P-03395,Bergés,Pedro,,midfielder,MF
P-02452,Berglie,Sverre,,midfielder,MF
P-06174,Bergsten,Curt,,forward,FW
P-06390,Bertoni,Sergio,,forward,FW
P-01621,Biavati,Amedeo,,forward,FW
P-01417,Bickel,Alfred,,forward,FW
P-05831,Bindea,Silviu,,forward,FW
P-06546,Bíró,Mihály,,forward,FW
P-07298,Bíró,Sándor,,defender,DF
P-02182,Bizzozero,Renato,,goal keeper,GK
P-08678,Bodola,Iuliu,,forward,FW
P-01212,Bogdan,Ion,,forward,FW
P-09575,Bouček,Jaroslav,,midfielder,MF
P-01110,Bourbotte,François,,midfielder,MF
P-04510,Bradáč,Vojtěch,,forward,FW
P-07676,Braet,Robert,,goal keeper,GK
P-00109,Braine,Raymond,,forward,FW
P-05293,Brandabura,Gheorghe,,midfielder,MF
P-00162,Brandão,not applicable,,midfielder,MF
P-07651,Braun-Bogdan,Coloman,,forward,FW
P-01406,Britto,not applicable,,midfielder,MF
P-07333,Brom,Walter,,goal keeper,GK
P-02683,Brusseaux,Michel,,forward,FW
P-00254,Brustad,Arne,,forward,FW
P-04153,Brynildsen,Knut,,forward,FW
P-05582,Buchloh,Fritz,,goal keeper,GK
P-08434,Bunke,Lennart,,forward,FW
P-01959,Bürger,Rudolf,,defender,DF
P-01925,Burgr,Jaroslav,,defender,DF
P-07527,Burkert,Karel,,goal keeper,GK
P-08766,Buyle,Fernand,,forward,FW
P-02102,Caldenhove,Bertus,,defender,DF
P-01864,Capelle,Jean,,forward,FW
P-09888,Carvajales,Benito,,goal keeper,GK
P-04323,Cazenave,Hector,,defender,DF
P-03073,Cebula,Ewald,,forward,FW
P-09207,Ceresoli,Carlo,,goal keeper,GK
P-05394,Černý,Karel,,defender,DF
P-05336,Ceuleers,Arthur,,forward,FW
P-04220,Chiroiu,Vasile,,defender,DF
P-03130,Chizzo,Bruno,,midfielder,MF
P-02301,Chorens,Manuel,,defender,DF
P-03238,Colaussi,Gino,,forward,FW
P-05916,Cossini,Vintilă,,midfielder,MF
P-01005,Courtois,Roger,,forward,FW
P-05356,Cseh,László,,forward,FW
P-08100,da Guia,Domingos,,defender,DF
P-08707,Dalem,Pierre,,midfielder,MF
P-08508,Darui,Julien,,goal keeper,GK
P-02282,Daučík,Ferdinand,,defender,DF
P-09268,David,Mircea,,goal keeper,GK
P-01404,de Boer,Piet,,forward,FW
P-03339,de Harder,Bertus,,forward,FW
P-00616,de Winter,Arie,,forward,FW
P-05664,De Winter,Alfons,,midfielder,MF
P-02254,Delfour,Edmond,,forward,FW
P-02412,Di Lorto,Laurent,,goal keeper,GK
P-03265,Diagne,Raoul,,midfielder,MF
P-08716,Dobay,Ștefan,,forward,FW
P-05859,Donati,Aldo,,midfielder,MF
P-01909,Dorst,not applicable,,defender,DF
P-06705,Drok,Daaf,,forward,FW
P-05552,Dudás,János,,midfielder,MF
P-09487,Dytko,Ewald,,midfielder,MF
P-03170,Eriksen,Nils,,defender,DF
P-00106,Eriksson,Ivar,,defender,DF
P-07974,Faulhaber,Gerrit,,midfielder,MF
P-04065,Felecan,Iacob,,defender,DF
P-01184,Fernández,Tomás,,forward,FW
P-06750,Ferrari,Giovanni,,forward,FW
P-00963,Ferraris,Pietro,,forward,FW
P-02872,Ferrer,Pedro,,forward,FW
P-03848,Fievez,Jean,,forward,FW
P-08777,Foni,Alfredo,,defender,DF
