player_id,family_name,given_name,shirt_number,position_name,position_code
P-05074,A'Court,Alan,,forward,FW
P-02825,Abbes,Claude,,goal keeper,GK
P-04924,Acevedo,David,,defender,DF
P-04394,Achúcarro,Ignacio,,defender,DF
P-09997,Agüero,Juan Bautista,,forward,FW
P-07137,Aguilar,Samuel,,goal keeper,GK
P-08649,Aguilera,Oscar,,forward,FW
P-06738,Allchurch,Ivor,,forward,FW
P-05114,Allchurch,Len,,midfielder,MF
P-04236,Altafini,José,,forward,FW
P-07891,Amarilla,Florencio,,forward,FW
P-00802,Apukhtin,German,,forward,FW
P-07625,Arévalo,Edelmiro,,defender,DF
P-04336,Aveiro,José Raúl,,forward,FW
P-02403,Avio,Ludovico,,forward,FW
P-04993,Axbom,Sven,,defender,DF
P-03076,Baird,Sammy,,forward,FW
P-07360,Baker,Colin,,defender,DF
P-06912,Baker,George,,midfielder,MF
P-05629,Banks,Tommy,,defender,DF
P-08115,Barschandt,Leopold,,defender,DF
P-00735,Beara,Vladimir,,goal keeper,GK
P-07138,Bellini,Hilderaldo,,defender,DF
P-08077,Bellot,Raymond,,midfielder,MF
P-04263,Belmonte,Jaime,,defender,DF
P-08687,Belyayev,Vladimir,,goal keeper,GK
P-06412,Bencsics,József,,forward,FW
P-04385,Berendy,Pál,,midfielder,MF
P-03571,Bergmark,Orvar,,defender,DF
P-09580,Berndtsson,Bengt,,midfielder,MF
P-04017,Bingham,Billy,,forward,FW
P-02404,Blanchflower,Danny,,midfielder,MF
P-07563,Blanco,Carlos,,forward,FW
P-05557,Boggio,Norberto,,forward,FW
P-08153,Börjesson,Reino,,midfielder,MF
P-09038,Borovička,Jaroslav,,forward,FW
P-00426,Boškov,Vujadin,,midfielder,MF
P-00043,Bowen,Dave,,midfielder,MF
P-00610,Bozsik,József,,midfielder,MF
P-06830,Brabrook,Peter,,forward,FW
P-04996,Broadbent,Peter,,forward,FW
P-06566,Brown,Bill,,goal keeper,GK
P-02481,Bruey,Stéphane,,forward,FW
P-05234,Buberník,Titus,,defender,DF
P-06143,Bubukin,Valentin,,forward,FW
P-01207,Budai,László,,midfielder,MF
P-00597,Bundzsák,Dezső,,forward,FW
P-06969,Buzek,Hans,,forward,FW
P-02159,Čadek,Jiří,,midfielder,MF
P-08420,Calderón de la Barca,Carlos,,forward,FW
P-03222,Caldow,Eric,,defender,DF
P-07542,Camacho,Manuel,,goal keeper,GK
P-00727,Carbajal,Antonio,,goal keeper,GK
P-05812,Cárdenas,Raúl,,midfielder,MF
P-07984,Carrizo,Amadeo,,goal keeper,GK
P-03197,Casey,Tommy,,forward,FW
P-05320,Castilho,Carlos José,,goal keeper,GK
P-00525,Chapman,Sammy,,midfielder,MF
P-04850,Charles,John,,forward,FW
P-00594,Charles,Mel,,midfielder,MF
P-00227,Charlton,Bobby,,forward,FW
P-09685,Chiarelli,Bernard,,midfielder,MF
P-08089,Cieslarczyk,Hans,,forward,FW
P-05893,Clamp,Eddie,,midfielder,MF
P-05876,Clayton,Ronnie,,midfielder,MF
P-09698,Collins,Bobby,,forward,FW
P-01174,Colonna,Dominique,,goal keeper,GK
P-00334,Corbatta,Oreste,,forward,FW
P-09832,Cowie,Doug,,midfielder,MF
P-04496,Coyle,Fay,,forward,FW
P-03507,Coyle,John,,forward,FW
P-08495,Crnković,Tomislav,,defender,DF
P-07026,Crowe,Vic,,midfielder,MF
P-03286,Cruz,Osvaldo,,forward,FW
P-07149,Cunningham,Willie,,defender,DF
P-03481,Cush,Wilbur,,forward,FW
P-05564,del Muro,Jesús,,defender,DF
P-05706,Delgado,José Ramón,,defender,DF
P-04984,Dellacha,Pedro,,defender,DF
P-07008,Dida,not applicable,,forward,FW
P-09343,Didi,not applicable,,midfielder,MF
P-09516,Dienst,Robert,,forward,FW
P-09876,Docherty,Tommy,,midfielder,MF
P-05407,Dolejší,Břetislav,,goal keeper,GK
P-00757,Dougan,Derek,,forward,FW
P-04641,Douglas,Bryan,,forward,FW
P-00529,Douis,Yvon,,forward,FW
P-03577,Dvořák,Milan,,forward,FW
P-02940,Echagüe,Eligio,,defender,DF
P-04824,Eckel,Horst,,midfielder,MF
P-04879,Edwards,Federico,,defender,DF
P-03148,Edwards,Trevor,,defender,DF
P-07425,Elsworthy,John,,midfielder,MF
P-09314,Engelmeier,Bruno,,goal keeper,GK
